time,thscode,ths_chg_ratio_m_stock
2014-01-30,002466.SZ,10.214876033058
2014-01-30,600009.SH,-6.7737430167598
2014-01-30,601989.SH,-7.4866310160428
2014-01-30,002081.SZ,-13.102820746133
2014-01-30,600111.SH,-6.1966771441401
2014-01-30,002411.SZ,14.571746384872
2014-01-30,002572.SZ,-16.149635036496
2014-01-30,601009.SH,-2.5957972805933
2014-01-30,600795.SH,-2.1276595744681
2014-01-30,601117.SH,-22.5
2014-01-30,002304.SZ,-2.4497795198432
2014-01-30,002460.SZ,7.1672354948805
2014-01-30,002468.SZ,11.018131101813
2014-01-30,600352.SH,-11.497730711044
2014-01-30,600376.SH,-10.934393638171
2014-01-30,000559.SZ,19.585687382298
2014-01-30,300033.SZ,14.442105263158
2014-01-30,002044.SZ,-3.5561877667141
2014-01-30,600276.SH,-1.3428120063191
2014-01-30,601818.SH,-6.390977443609
2014-01-30,600221.SH,-7.5
2014-01-30,000783.SZ,-10.384615384615
2014-01-30,000876.SZ,-18.004187020237
2014-01-30,601866.SH,-12.145748987854
2014-01-30,600522.SH,8.6080586080586
2014-01-30,601398.SH,-4.7486033519553
2014-01-30,600398.SH,24.152542372881
2014-01-30,601788.SH,-7.4798619102417
2014-01-30,000627.SZ,-8.0152671755725
2014-01-30,600436.SH,-8.0585303785389
2014-01-30,600118.SH,2.9141932002159
2014-01-30,601669.SH,-10.097719869707
2014-01-30,601618.SH,-5.1428571428571
2014-01-30,601898.SH,-8.8050314465409
2014-01-30,600739.SH,-12.200684150513
2014-01-30,300070.SZ,-9.4901195413516
2014-01-30,600516.SH,-6.3074901445466
2014-01-30,600415.SH,-6.3032367972743
2014-01-30,601360.SH,3.0637254901961
2014-01-30,601600.SH,-5.0
2014-01-30,601668.SH,-4.7770700636943
2014-01-30,600406.SH,-5.1782111634163
2014-01-30,000540.SZ,-9.1379310344828
2014-01-30,000063.SZ,1.5302218821729
2014-01-30,002050.SZ,-4.424778761062
2014-01-30,600000.SH,-2.7571580063627
2014-01-30,600332.SH,-1.7624846619387
2014-01-30,600637.SH,10.736075067197
2014-01-30,300136.SZ,14.550264550265
2014-01-30,002415.SZ,-7.7023498694517
2014-01-30,600208.SH,-6.25
2014-01-30,601857.SH,-2.2049286640726
2014-01-30,600518.SH,-4.5555555555556
2014-01-30,600233.SH,-7.5854700854701
2014-01-30,000983.SZ,-15.633802816901
2014-01-30,600100.SH,7.1779744346116
2014-01-30,002027.SZ,52.81954887218
2014-01-30,000002.SZ,-8.0946450809464
2014-01-30,600837.SH,-9.0989399293286
2014-01-30,601225.SH,-11.428571428571
2014-01-30,000938.SZ,11.760435571688
2014-01-30,600340.SH,-3.1141868512111
2014-01-30,000671.SZ,-2.6910656620022
2014-01-30,002714.SZ,-10.328909405655
2014-01-30,600011.SH,-3.7549407114624
2014-01-30,000725.SZ,-0.93023255813952
2014-01-30,600373.SH,25.559284116331
2014-01-30,600008.SH,-7.8402366863905
2014-01-30,600704.SH,2.0264317180617
2014-01-30,002608.SZ,-2.3764853033146
2014-01-30,000425.SZ,-9.592641261498
2014-01-30,002493.SZ,-2.8776978417266
2014-01-30,600804.SH,15.860597439545
2014-01-30,600588.SH,42.413294797688
2014-01-30,601288.SH,-4.0322580645161
2014-01-30,600061.SH,0.16233766233766
2014-01-30,000060.SZ,-12.261146496815
2014-01-30,600309.SH,-4.4444444444444
2014-01-30,002602.SZ,94.794520547945
2014-01-30,002008.SZ,14.158636026686
2014-01-30,600339.SH,0.69124423963135
2014-01-30,600109.SH,34.590453741897
2014-01-30,600170.SH,-4.8154093097913
2014-01-30,000895.SZ,-4.7366185216653
2014-01-30,601216.SH,30.102915951973
2014-01-30,002450.SZ,-14.40329218107
2014-01-30,600369.SH,-6.7472306143001
2014-01-30,600038.SH,2.328119316115
2014-01-30,600219.SH,-5.1823416506718
2014-01-30,300122.SZ,11.666666666667
2014-01-30,601800.SH,-5.4455445544555
2014-01-30,300124.SZ,17.985980509489
2014-01-30,000157.SZ,-7.3394495412844
2014-01-30,002252.SZ,3.4105263157895
2014-01-30,600023.SH,-8.2840236686391
2014-01-30,601018.SH,-4.9180327868853
2014-01-30,002558.SZ,-6.7342505430847
2014-01-30,600028.SH,-0.44642857142859
2014-01-30,600068.SH,-3.2828282828283
2014-01-30,600606.SH,0.0
2014-01-30,600809.SH,-15.59585492228
2014-01-30,601688.SH,-5.5803571428571
2014-01-30,000423.SZ,-8.6198179979778
2014-01-30,601169.SH,-5.0599201065246
2014-01-30,000100.SZ,7.2961373390558
2014-01-30,601555.SH,-8.1395348837209
2014-01-30,000630.SZ,-10.678642714571
2014-01-30,300003.SZ,0.89552238805971
2014-01-30,002142.SZ,-4.3336944745395
2014-01-30,600115.SH,-8.6642599277978
2014-01-30,600547.SH,-4.4057971014493
2014-01-30,600674.SH,-5.1075268817204
2014-01-30,600682.SH,-0.44014084507041
2014-01-30,000961.SZ,14.793741109531
2014-01-30,002475.SZ,4.8174745661281
2014-01-30,600705.SH,-2.414605418139
2014-01-30,600089.SH,-6.1415722069635
2014-01-30,002352.SZ,-7.9253112033195
2014-01-30,000413.SZ,35.79444772593
2014-01-30,600487.SH,-0.89919545669663
2014-01-30,601919.SH,-4.8484848484848
2014-01-30,600346.SH,-0.59347181008902
2014-01-30,601111.SH,-5.5696202531646
2014-01-30,000623.SZ,-5.4054054054054
2014-01-30,600663.SH,4.3555032371984
2014-01-30,601166.SH,-7.7909270216963
2014-01-30,601328.SH,-1.5625
2014-01-30,601238.SH,-8.9805825242718
2014-01-30,600177.SH,-11.466666666667
2014-01-30,000776.SZ,-7.9326923076923
2014-01-30,300072.SZ,24.085005903188
2014-01-30,600688.SH,-3.9344262295082
2014-01-30,000839.SZ,0.63999999999999
2014-01-30,002625.SZ,6.0444444444444
2014-01-30,600176.SH,-6.4729194187583
2014-02-28,300144.SZ,9.9865047233468
2014-02-28,600029.SH,-1.5209125475285
2014-02-28,600690.SH,-13.833805476865
2014-02-28,601958.SH,-2.0123839009288
2014-02-28,002673.SZ,-4.1564792176039
2014-02-28,600031.SH,-3.1986531986532
2014-02-28,002236.SZ,-17.621385706492
2014-02-28,601988.SH,0.0
2014-02-28,002385.SZ,-0.57887120115774
2014-02-28,000651.SZ,-2.1509167842031
2014-02-28,002074.SZ,7.190635451505
2014-02-28,002456.SZ,13.279962326348
