positionName,companyShortName,salary,createTime,companyId,companyFullName,companySize,financeStage,industryField,education,district,businessZones
数据挖掘专家/Leader,趣头条,40k-60k,2019-11-22 09:58:42,202104,上海基分文化传播有限公司,500-2000人,上市公司,文娱丨内容,本科,浦东新区,['张江']
positionName,companyShortName,salary,createTime,companyId,companyFullName,companySize,financeStage,industryField,education,district,businessZones
数据挖掘工程师-风控,拼多多,25k-50k,2019-11-05 09:19:19,107784,上海寻梦信息技术有限公司,2000人以上,上市公司,"电商,移动互联网",本科,长宁区,
高级数据挖掘工程师,车轮,20k-35k,2019-11-22 17:57:40,34863,上海易点时空网络有限公司,150-500人,C轮,移动互联网,硕士,闵行区,
数据挖掘算法,趣头条,25k-35k,2019-11-22 09:58:41,202104,上海基分文化传播有限公司,500-2000人,上市公司,文娱丨内容,本科,浦东新区,['张江']
高级数据挖掘工程师,小赢科技,25k-35k,2019-11-08 15:43:39,24587,深圳市小赢科技有限责任公司,500-2000人,上市公司,金融,本科,虹口区,"['四川北路', '七浦路', '海宁路']"
数据挖掘算法工程师（信贷风控）-01376,同盾科技,10k-20k,2019-11-22 16:20:19,6502,同盾科技有限公司,500-2000人,C轮,"信息安全,数据服务",本科,徐汇区,"['斜土路', '枫林路', '龙华']"
实习数据挖掘工程师（可转正）,字节跳动,4k-8k,2019-10-30 23:55:31,62,北京字节跳动科技有限公司,2000人以上,C轮,文娱丨内容,本科,闵行区,
算法/数据挖掘高级工程师,阅文集团,30k-50k,2019-11-05 10:38:56,28243,上海阅文信息技术有限公司,500-2000人,上市公司,文娱丨内容,本科,浦东新区,['张江']
上海-算法工程师/专家-数据挖掘/推荐算法/广告营销/运筹优化/风控算法,拉勾猎头,25k-50k,2019-11-05 10:50:14,484985,拉勾猎头,500-2000人,D轮及以上,"移动互联网,企业服务",本科,闵行区,['莘庄']
数据挖掘算法专家（算法平台）(J11344),哈啰出行,22k-37k,2019-11-18 15:45:42,164989,上海钧正网络科技有限公司,2000人以上,D轮及以上,"移动互联网,硬件",本科,闵行区,"['莘庄', '七宝']"
点评App部-机器学习/数据挖掘算法专家,美团点评,35k-48k,2019-11-23 10:03:59,50702,北京三快在线科技有限公司,2000人以上,上市公司,消费生活,本科,长宁区,
数据挖掘工程师（2020校招）,莉莉丝游戏,10k-20k,2019-11-19 11:51:17,1938,上海莉莉丝科技股份有限公司,500-2000人,不需要融资,"移动互联网,游戏",本科,闵行区,
数据挖掘/机器学习实习生,上海邻我信息技术有限公司,4k-8k,2019-11-09 16:43:20,24099,上海邻我信息技术有限公司,15-50人,天使轮,"移动互联网,社交",本科,徐汇区,
数据挖掘实习,众标智能科技,3k-4k,2019-11-22 14:33:03,38786,北京众标智能科技有限公司上海分公司,50-150人,A轮,"电商,企业服务",本科,宝山区,"['庙行', '张庙', '长江西路']"
数据挖掘实习生,百度,3k-4k,2019-11-20 14:08:33,1575,百度在线网络技术（北京）有限公司,2000人以上,不需要融资,工具,本科,浦东新区,['张江']
运维数据挖掘专家,千寻位置,30k-60k,2019-11-22 10:48:13,99397,千寻位置网络有限公司,150-500人,不需要融资,移动互联网,本科,杨浦区,
positionName,companyShortName,salary,createTime,companyId,companyFullName,companySize,financeStage,industryField,education,district,businessZones
数据挖掘算法工程师,文谷软件,8k-16k,2019-11-19 14:10:55,275077,上海文谷软件有限公司,少于15人,不需要融资,移动互联网,本科,浦东新区,"['张江', '北蔡']"
通信数据挖掘和分析工程师,诺基亚华诺科技,5k-8k,2019-11-20 16:39:02,280956,湖南华诺科技有限公司,500-2000人,不需要融资,"移动互联网,数据服务",本科,闸北区,"['闸北公园', '共和新路']"
